# name: banks_superior_temporal_sulcus_left,caudal_anterior_cingulate_cortex_left,caudal_middle_frontal_gyrus_left,cuneus_left,entorhinal_cortex_left,fusiform_gyrus_left,inferior_parietal_gyrus_left,inferior_temporal_gyrus_left,cingulate_gyrus_isthmus_left,lateral_occipital_cortex_left,lateral_orbitofrontal_cortex_left,lingual_gyrus_left,medial_orbitofrontal_gyrus_left,middle_temporal_gyrus_left,parahippocampal_gyrus_left,paracentral_gyrus_left,inferior_frontal_gyrus_pars_opercularis_left,inferior_frontal_gyrus_pars_orbitalis_left,inferior_frontal_gyrus_pars_triangularis_left,pericalcarine_cortex_left,postcentral_gyrus_left,posterior_cingulate_gyrus_left,precentral_gyrus_left,precuneus_left,rostral_anterior_cingulate_cortex_left,rostral_middle_frontal_gyrus_left,superior_frontal_gyrus_left,superior_parietal_gyrus_left,superior_temporal_gyrus_left,supramarginal_gyrus_left,frontal_pole_left,temporal_pole_left,transverse_temporal_gyrus_left,insula_left,banks_superior_temporal_sulcus_right,caudal_anterior_cingulate_cortex_right,caudal_middle_frontal_gyrus_right,cuneus_right,entorhinal_cortex_right,fusiform_gyrus_right,inferior_parietal_gyrus_right,inferior_temporal_gyrus_right,cingulate_gyrus_isthmus_right,lateral_occipital_cortex_right,lateral_orbitofrontal_cortex_right,lingual_gyrus_right,medial_orbitofrontal_gyrus_right,middle_temporal_gyrus_right,parahippocampal_gyrus_right,paracentral_gyrus_right,inferior_frontal_gyrus_pars_opercularis_right,inferior_frontal_gyrus_pars_orbitalis_right,inferior_frontal_gyrus_pars_triangularis_right,pericalcarine_cortex_right,postcentral_gyrus_right,posterior_cingulate_gyrus_right,precentral_gyrus_right,precuneus_right,rostral_anterior_cingulate_cortex_right,rostral_middle_frontal_gyrus_right,superior_frontal_gyrus_right,superior_parietal_gyrus_right,superior_temporal_gyrus_right,supramarginal_gyrus_right,frontal_pole_right,temporal_pole_right,transverse_temporal_gyrus_right,insula_right
0,0,0,0,0,0.402233077896266,0.388028246413983,0.357632806874196,0.445638676111822,0.362077490576398,0,0.380764263576299,0,0.298796481736055,0.407264739910013,0.395010292587393,0,0,0,0.422365368337901,0.395812433868537,0.442111462823273,0.40652764084503,0.392406040041368,0,0,0,0.399252036129377,0.332958329351613,0.355326069269218,0,0,0.378562925845797,0.414613588416258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.425752141489718,0,0,0,0,0,0,0,0.40830183113509,0,0.416812145353725,0,0,0.425020499025122,0.407105766496456,0.386895314939982,0.376823888946932,0,0.422274685017506,0.440054751584611,0.401596693203672,0,0.428801684703906,0.395028487316559,0.445225456505126,0.434358658581214,0,0.445231691401474,0,0,0,0.426205369607502,0,0.524997251442242,0.451685711539313,0,0,0,0,0,0,0,0.430395248138594,0,0.45987960160656,0,0,0,0.447554511543204,0,0.425705163759138,0,0,0.516771357942196,0,0,0.473625965589197,0.446595741942488,0.494585844367806,0,0,0,0,0,0,0
0,0.425752141489718,0,0,0,0,0.345056014051453,0.407955286068082,0.402368816744055,0,0.402960882651364,0,0.394642020642294,0,0,0.406427958606482,0.349858975064072,0.371974311930229,0.313757367278994,0,0.366032130680774,0.438884427996246,0.364276767225402,0.354368393562928,0.368751498576177,0.340213327639227,0.347325201069183,0.369328932406058,0.426562873653412,0.429832387984805,0,0,0.425753738540452,0.358984045659944,0,0.459953600181463,0.420327650796773,0,0,0,0,0.434896913530089,0.433974035837963,0,0.440471176429981,0,0.451379715218476,0,0,0,0.436773865450263,0,0.437993129262574,0,0.412882773426788,0.522862863305739,0.407748310091908,0,0.449793915870748,0.444335542133843,0.463754515508132,0,0,0,0,0,0,0.418562848214212
0,0,0,0,0,0.291406198860648,0,0,0,0.314618047541054,0,0.267360415637483,0,0,0,0,0,0,0,0.274496827795524,0,0,0,0.307116998355843,0,0,0,0.316746683845684,0.409723707090194,0,0,0,0,0,0,0,0,0.160616341548408,0,0,0,0,0,0,0,0.157869265036237,0,0,0,0,0,0,0,0.198458326630253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.192044737533121,0,0.270837895092718,0,0,0,0,0,0,0.226644974786133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26717498677105,0,0,0.181472989748895,0,0.241780368495015,0,0,0,0,0.353292758980711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484527752912156,0,0,0,0,0,0,0
0.402233077896266,0,0,0.291406198860648,0.192044737533121,0,0.309548504527146,0.283541739267873,0.437344572647799,0.317853566969966,0,0.220452241788698,0.264946795812809,0.397056692272165,0.172891284269401,0,0,0,0,0.278770899127745,0.385240525813195,0,0.373831168568772,0.330852919468956,0,0,0,0.348892527521456,0.394752560981087,0.351418314798927,0,0.234622551411938,0.418399815167938,0.30285633691128,0,0,0,0,0,0,0,0,0,0,0,0.196585373897564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.388028246413983,0,0.345056014051453,0,0,0.309548504527146,0,0.381259394352647,0.416839090102188,0.311770596710003,0,0.312319972880028,0,0.354457373672566,0.366969430410837,0.385028160834387,0,0,0,0.27824337512355,0.354811229221835,0.411495510933377,0.376077913963746,0.366739805705834,0,0,0,0.328234718246316,0.413405439985551,0.347460426590887,0,0,0.45110659776711,0.367284939433333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.357632806874196,0,0.407955286068082,0,0.270837895092718,0.283541739267873,0.381259394352647,0,0.48850417099794,0.286327186595799,0,0.311809874037787,0,0.307964273870245,0.243712755697867,0.394401472306097,0,0,0,0,0.39167000386054,0.458781460857676,0.428463516799078,0.39443059993618,0,0,0.446704062441021,0.395337038067081,0.392361081857982,0.414133601818632,0,0.195541109046461,0.414278806745719,0.399831545342221,0,0,0.410156097338432,0,0,0,0,0,0.529418640782112,0,0,0,0,0,0,0,0,0,0,0,0,0.49127815735609,0.477306852644679,0,0,0,0.471913594269454,0,0,0,0,0,0,0
0.445638676111822,0,0.402368816744055,0,0,0.437344572647799,0.416839090102188,0.48850417099794,0,0.43396557180314,0.392558650305683,0.375115018423447,0,0.469523044203013,0.189281556335798,0.404741227777987,0.419858866489088,0,0,0,0.386690690559905,0.481949899042161,0.429193123366067,0.388536154914593,0,0,0.445951387263161,0.442813414258808,0.449256479128728,0.407051031541942,0,0,0.451517142762439,0.439797958086789,0,0,0.47922247380392,0,0,0,0,0,0.519697208778366,0,0,0,0,0,0,0,0,0,0,0,0,0.540746453815283,0.470911149175828,0,0,0,0.452729032303748,0,0,0,0,0,0,0
0.362077490576398,0,0,0.314618047541054,0,0.317853566969966,0.311770596710003,0.286327186595799,0.43396557180314,0,0,0.331969295670582,0,0.294689603835565,0.200859792766513,0.379255765244943,0,0,0,0.268487878804572,0.363036014958803,0.438514020212806,0.387046860385195,0.343971249233356,0,0,0.431954810112096,0.330897988723611,0.426108992090748,0.370810695255001,0,0,0.42936308259777,0.408307211881686,0,0,0,0,0.178706384872008,0.141725252913138,0,0.193385710359334,0,0,0,0.159667521884506,0,0,0,0,0,0,0,0,0,0,0,0.168378210736804,0,0,0,0,0,0,0,0,0,0
